wl,tulle_16,tulle_12,tulle_8,tulle_6,tulle_4,tulle_3,tulle_2,tulle_1
232.53,17.144,23.68,40.703,50.837,61.655,71.945,80.074,89.06
232.8,17.755,22.984,41.826,51.265,62.253,72.013,81.21,88.342
233.07,19.642,25.273,43.243,50.526,62.49,71.492,81.441,87.501
233.34,20.119,24.756,44.501,49.709,62.868,71.812,82.621,88.503
233.61,21.447,25.705,45.399,50.774,62.759,71.08,81.871,89.007
233.88,19.851,25.445,44.827,50.414,61.208,70.459,81.863,88.198
234.15,19.728,24.725,45.851,51.799,62.424,72.601,82.243,90.132
234.41,18.459,25.217,44.612,52.466,62.346,73.478,82.878,91.331
234.68,19.239,25.275,43.034,52.523,62.914,73.356,82.793,90.001
234.95,18.848,25.982,43.779,52.947,64.759,73.591,81.717,90.071
235.22,17.943,25.392,43.952,51.95,64.715,72.594,80.222,88.361
235.49,20.916,26.002,44.763,53.556,65.652,72.767,80.031,88.322
235.76,23.925,27.257,47.163,54.858,67.078,74.601,81.121,88.746
236.03,24.471,26.178,47.331,55.518,67.495,76.169,81.511,88.339
236.29,25.383,25.582,46.578,55.342,67.616,76.245,81.301,88.183
236.56,23.755,25.161,44.724,54.878,67.901,76.273,80.981,88.485
236.83,23.343,26.019,43.251,53.977,68.694,74.401,80.521,88.725
237.1,24.512,27.142,42.785,54.935,68.085,73.485,79.53,87.942
237.37,22.739,26.585,40.779,54.746,68.528,72.796,77.864,87.959
237.64,21.139,26.273,39.951,56.462,69.794,73.288,77.867,88.242
237.91,20.43,26.762,39.589,57.58,70.179,73.441,77.904,88.913
238.17,19.115,25.669,39.588,56.238,70.14,74.255,77.577,87.724
238.44,19.586,25.752,40.167,56.046,70.888,74.639,77.012,88.063
238.71,19.506,26.635,39.24,55.581,69.884,73.599,77.817,87.057
238.98,19.644,25.539,39.97,53.976,69.425,74.573,77.803,86.562
239.25,18.523,25.058,41.277,53.758,69.432,76.223,78.294,87.323
239.52,18.844,26.354,41.955,54.533,69.875,76.406,80.52,87.988
239.78,21.256,27.715,41.805,55.785,71.134,77.706,81.616,89.418
240.05,20.418,27.605,40.755,55.302,70.622,78.289,82.327,89.771
240.32,18.934,27.219,37.482,52.885,70.01,77.576,81.848,89.943
240.59,18.479,27.959,37.216,52.469,70.102,77.007,81.366,90.451
240.86,16.856,27.074,37.274,52.098,69.514,76.344,81.498,90.496
241.13,19.017,28.226,39.36,52.287,69.368,76.536,81.453,89.744
241.4,19.665,28.362,39.338,51.712,67.128,75.929,82.041,88.177
241.66,18.662,28.499,38.51,50.367,68.65,75.863,82.021,87.965
241.93,20.034,29.807,39.416,50.178,68.729,76.657,83.127,88.927
242.2,18.924,28.847,39.517,48.548,67.222,75.72,82.653,89.277
242.47,19.779,29.681,40.444,49.34,66.665,76.263,82.202,89.503
242.74,19.776,30.844,41.25,50.666,67.047,77.973,83.462,90.153
243.01,20.092,31.107,41.087,50.407,68.058,78.885,84.236,90.001
243.27,20.007,31.043,41.915,50.782,68.644,79.052,84.378,89.661
243.54,20.055,31.82,43.028,52.359,68.362,78.242,83.153,89.132
243.81,21.377,32.792,43.791,53.329,69.611,77.622,83.495,89.391
244.08,21.125,32.648,41.753,52.96,68.841,76.678,83.171,88.476
244.35,19.919,32.898,41.961,52.341,68.467,75.988,82.843,88.171
244.62,19.965,32.936,42.533,52.13,68.866,76.374,82.777,88.728
244.88,21.293,32.975,44.737,54.497,69.552,76.961,83.204,88.306
245.15,21.745,32.409,44.664,55.084,70.044,76.705,83.052,88.331
245.42,23.786,34.23,44.71,56.359,71.15,77.686,82.318,88.205
245.69,22.64,32.782,44.028,56.875,71.086,77.995,81.88,88.511
245.96,22.528,32.851,44.084,57.479,71.296,78.703,81.024,89.037
246.23,23.28,32.845,42.837,57.264,69.675,79.265,82.172,88.557
246.49,22.061,30.727,42.326,57.49,69.498,78.591,81.73,87.237
246.76,22.926,30.976,42.813,57.365,71.338,79.753,82.223,87.219
247.03,22.861,30.097,42.454,56.289,72.711,79.403,82.849,86.478
247.3,23.788,30.151,41.91,54.935,72.835,77.494,81.492,85.889
247.57,24.192,30.239,43.113,55.757,73.695,77.868,81.956,87.035
247.84,24.198,30.99,43.244,56.485,74.706,77.934,80.924,87.204
248.1,24.399,30.987,42.86,56.134,74.94,77.325,80.568,87.977
248.37,24.455,29.936,42.628,54.637,74.357,76.172,80.115,87.841
248.64,27.768,30.548,45.49,54.178,75.408,77.094,79.117,87.744
248.91,28.783,30.31,44.815,53.544,75.438,77.635,78.791,88.175
249.18,27.955,29.169,44.272,53.341,74.938,77.547,79.306,87.644
249.44,26.889,28.281,43.74,52.479,73.855,77.143,79.391,87.274
249.71,25.896,28.266,44.495,50.721,73.295,76.728,79.691,87.006
249.98,24.981,27.326,44.784,49.45,72.156,75.809,79.223,86.556
250.25,24.091,28.036,44.4,49.155,71.31,74.639,78.913,87.108
250.52,23.514,27.438,44.922,49.241,71.885,73.141,78.564,86.882
250.79,22.489,27.407,46.052,49.535,72.27,72.827,77.208,87.17
251.05,23.37,28.205,46.094,49.516,72.201,73.526,77.718,87.751
251.32,23.685,28.314,45.645,49.256,71.57,72.937,77.941,87.694
251.59,22.955,28.858,44.679,48.825,69.753,71.785,77.59,87.468
251.86,22.64,28.09,44.754,50.315,68.992,72.156,78.24,87.868
252.13,21.177,26.889,43.386,49.918,67.076,71.739,77.263,86.471
252.39,21.444,26.329,43.529,48.623,66.105,71.323,76.754,85.849
252.66,21.733,26.782,43.976,49.09,66.642,71.419,77.52,84.822
252.93,21.523,27.632,43.606,49.779,67.005,72.282,77.778,84.696
253.2,18.736,27.227,42.13,49.577,65.47,71.053,77.161,83.869
253.47,17.681,27.091,42.04,49.082,65.094,69.642,77.131,82.974
253.73,18.467,27.464,41.294,49.122,64.535,69.295,76.583,83.36
254,19.493,29.026,41.644,50.153,65.62,69.475,76.989,84.759
254.27,20.046,29.476,40.736,51.271,65.911,68.892,77.256,84.161
254.54,19.058,28.469,39.126,51.414,66.219,69.2,77.414,84.546
254.81,19.335,27.646,39.098,50.513,66.609,69.63,77.173,84.162
255.08,19.186,27.381,38.029,50.183,66.719,70.962,77.508,83.911
255.34,19.553,27.578,37.51,50.026,66.264,71.247,77.902,83.557
255.61,18.428,25.913,36.045,48.775,65.49,69.897,78.13,83.301
255.88,17.389,25.126,34.785,48.013,65.362,69.236,77.368,82.219
256.15,17.695,23.524,35.18,48.099,66.458,70.295,77.307,82.66
256.42,16.344,22.324,33.924,46.307,66.089,69.667,76.794,82.721
256.68,16.989,23.617,34.431,45.93,66.44,69.956,77.051,83.836
256.95,17.619,23.58,33.515,46.587,66.799,71.053,78.634,84.47
257.22,17.176,22.831,31.612,46.491,65.995,72.213,79.485,85.821
257.49,15.524,21.746,30.62,46.57,65.501,71.634,78.373,84.733
257.76,15.278,20.653,30.59,47.234,65.997,72.57,78.71,85.282
258.02,16.304,20.201,31.136,47.662,66.57,73.845,79.185,86.192
258.29,16.354,19.979,31.521,47.704,66.728,73.135,78.73,86.59
258.56,13.917,18.809,30.581,46.29,66.052,72.452,78.074,85.374
258.83,13.342,18.086,30.537,46.053,66.069,72.685,77.835,86.41
259.1,13.682,18.292,30.919,45.637,65.016,72.467,77.175,85.61
259.36,13.749,18.375,30.215,45.379,64.288,72.638,77.308,85.762
259.63,14.592,18.37,31.05,46.129,63.948,72.623,77.671,86.337
259.9,13.937,17.285,31.716,45.456,63.651,72.703,77.065,86.389
260.17,13.538,19.422,32.483,46.095,63.876,72.655,76.499,85.554
260.43,13.221,19.871,33.009,46.537,63.262,72.991,76.879,86.342
260.7,13.21,21.715,33.521,47.14,62.955,72.668,76.391,87.203
260.97,14.711,23.16,34.372,48.846,63.278,73.75,76.663,87.508
261.24,14.682,22.264,33.722,48.739,63.617,73.09,76.489,85.921
261.51,13.869,22.294,34.392,48.465,64.054,72.284,75.635,85.96
261.77,13.805,22.99,34.827,47.589,64.063,71.878,74.331,86.276
262.04,14.999,23.925,34.813,47.595,64.368,72.231,73.616,87.126
262.31,15.313,25.065,34.726,46.748,64.054,72.256,73.229,87.324
262.58,15.457,25.673,35.001,46.997,63.893,72.343,72.815,86.989
262.85,15.539,26.439,36.42,47.201,64.513,73.494,73.31,86.209
263.11,16.541,26.162,37.442,47.17,63.963,73.51,72.812,86.279
263.38,17.295,26.641,37.699,46.379,63.129,73.546,72.766,85.678
263.65,17.631,28.031,39.364,46.009,62.625,73.662,73.343,86.557
263.92,17.402,28.106,39.234,46.276,62.532,73.061,73.2,86.692
264.18,16.491,28.934,38.655,46.005,62.06,73.293,72.514,85.963
264.45,17.087,29.24,38.251,46.277,62.619,73.539,73.355,85.245
264.72,18.58,28.88,38.948,46.242,63.241,74.849,74.21,86.155
264.99,19.458,29.366,39.647,46.505,63.59,75.384,74.187,86.068
265.26,18.526,27.957,38.748,45.228,63.156,75.637,74.823,85.286
265.52,18.856,28.252,39.047,44.872,63.272,75.812,75.193,85.36
265.79,19.484,29.313,39.533,45.822,63.202,76.21,75.305,86.118
266.06,19.206,28.983,38.728,45.575,62.457,76.113,75.802,85.444
