wl,white_fabric
540.17,79.448
540.52,79.46
540.86,79.467
541.21,79.462
541.55,79.45
541.9,79.448
542.24,79.435
542.59,79.439
542.93,79.426
543.27,79.416
543.62,79.423
543.96,79.425
544.31,79.421
544.65,79.426
545,79.413
545.34,79.424
545.69,79.416
546.03,79.414
546.37,79.392
546.72,79.386
547.06,79.387
547.41,79.376
547.75,79.367
548.09,79.36
548.44,79.358
548.78,79.36
549.13,79.356
549.47,79.324
549.81,79.301
550.16,79.278
550.5,79.274
550.85,79.277
551.19,79.271
551.53,79.269
551.88,79.264
552.22,79.276
552.56,79.249
552.91,79.245
553.25,79.237
553.59,79.237
553.94,79.244
554.28,79.224
554.62,79.213
554.97,79.212
555.31,79.224
555.65,79.252
556,79.258
556.34,79.257
556.68,79.243
557.03,79.224
557.37,79.212
557.71,79.192
558.05,79.164
558.4,79.168
558.74,79.153
559.08,79.149
559.43,79.142
559.77,79.136
560.11,79.129
560.45,79.132
560.8,79.106
561.14,79.111
561.48,79.094
561.82,79.083
562.17,79.065
562.51,79.066
562.85,79.06
563.19,79.07
563.53,79.076
563.88,79.096
564.22,79.096
564.56,79.088
564.9,79.084
565.25,79.083
565.59,79.084
565.93,79.083
566.27,79.077
566.61,79.104
566.96,79.105
567.3,79.097
567.64,79.104
567.98,79.127
568.32,79.108
568.66,79.112
569.01,79.093
569.35,79.112
569.69,79.111
570.03,79.111
570.37,79.099
570.71,79.107
571.05,79.099
571.4,79.078
571.74,79.091
572.08,79.09
572.42,79.064
572.76,79.034
573.1,79.026
573.44,79.027
573.78,79.011
574.12,79.018
574.47,79.017
574.81,79.023
575.15,79.006
575.49,78.985
575.83,78.975
576.17,78.996
576.51,78.989
576.85,78.989
577.19,79.002
577.53,78.986
577.87,78.975
578.21,78.976
578.55,78.986
578.89,79.004
579.23,79.003
579.57,79.004
579.91,79
580.26,78.989
580.6,78.983
580.94,78.965
581.28,78.967
581.62,78.97
581.96,78.96
582.3,78.964
582.64,78.966
582.98,78.976
583.32,78.975
583.66,78.985
584,78.99
584.33,78.993
584.67,78.956
585.01,78.951
585.35,78.933
585.69,78.93
586.03,78.934
586.37,78.927
586.71,78.932
587.05,78.92
587.39,78.902
587.73,78.886
588.07,78.878
588.41,78.874
588.75,78.842
589.09,78.825
589.43,78.811
589.77,78.785
590.1,78.762
590.44,78.784
590.78,78.772
591.12,78.776
591.46,78.759
591.8,78.747
592.14,78.753
592.48,78.744
592.82,78.764
593.15,78.77
593.49,78.781
593.83,78.753
594.17,78.733
594.51,78.723
594.85,78.732
595.19,78.728
595.52,78.738
595.86,78.766
596.2,78.756
596.54,78.755
596.88,78.742
597.22,78.747
597.55,78.749
597.89,78.73
598.23,78.726
598.57,78.717
598.91,78.715
599.24,78.697
599.58,78.712
599.92,78.727
600.26,78.733
600.6,78.714
600.93,78.709
601.27,78.723
601.61,78.707
601.95,78.711
602.28,78.72
602.62,78.733
602.96,78.736
603.3,78.736
603.63,78.736
603.97,78.751
604.31,78.725
604.65,78.701
604.98,78.701
605.32,78.688
605.66,78.674
605.99,78.67
606.33,78.7
606.67,78.698
607.01,78.68
607.34,78.657
607.68,78.653
608.02,78.63
608.35,78.618
608.69,78.611
609.03,78.604
609.36,78.582
609.7,78.564
610.04,78.571
610.37,78.591
610.71,78.597
611.05,78.6
611.38,78.606
611.72,78.616
612.06,78.586
612.39,78.596
612.73,78.604
613.06,78.639
613.4,78.621
613.74,78.621
614.07,78.619
614.41,78.6
614.74,78.593
615.08,78.6
615.42,78.608
615.75,78.599
616.09,78.579
616.42,78.581
616.76,78.577
617.1,78.566
617.43,78.554
617.77,78.555
618.1,78.552
618.44,78.549
618.77,78.52
619.11,78.518
619.44,78.529
619.78,78.505
620.11,78.513
620.45,78.517
620.79,78.526
621.12,78.515
621.46,78.53
621.79,78.529
622.13,78.515
622.46,78.519
622.8,78.519
623.13,78.498
623.47,78.487
623.8,78.474
624.14,78.445
624.47,78.428
624.81,78.413
625.14,78.405
625.47,78.397
625.81,78.382
626.14,78.37
626.48,78.343
626.81,78.32
627.15,78.295
627.48,78.292
627.82,78.291
628.15,78.28
628.48,78.268
628.82,78.282
629.15,78.282
629.49,78.268
629.82,78.286
630.16,78.298
630.49,78.309
630.82,78.29
631.16,78.301
631.49,78.325
631.83,78.326
632.16,78.334
632.49,78.35
632.83,78.347
633.16,78.354
633.49,78.361
633.83,78.33
634.16,78.322
634.49,78.311
634.83,78.307
635.16,78.289
635.49,78.262
635.83,78.228
636.16,78.204
636.49,78.187
636.83,78.187
637.16,78.167
637.49,78.164
637.83,78.166
638.16,78.166
638.49,78.159
638.83,78.142
639.16,78.118
639.49,78.157
639.82,78.148
640.16,78.143
640.49,78.161
640.82,78.178
641.16,78.186
641.49,78.226
641.82,78.255
642.15,78.273
642.49,78.26
642.82,78.246
643.15,78.259
643.48,78.24
643.82,78.248
644.15,78.261
644.48,78.254
644.81,78.275
645.14,78.255
645.48,78.276
645.81,78.279
646.14,78.231
646.47,78.22
646.8,78.221
647.14,78.208
647.47,78.198
647.8,78.192
648.13,78.193
648.46,78.194
648.79,78.17
649.13,78.186
649.46,78.15
649.79,78.116
650.12,78.137
650.45,78.111
650.78,78.091
651.12,78.068
651.45,78.057
651.78,78.085
652.11,78.075
652.44,78.076
652.77,78.065
653.1,78.059
653.43,78.057
653.76,78.066
654.1,78.07
654.43,78.077
654.76,78.062
655.09,78.039
655.42,78.045
655.75,78.032
656.08,78.027
656.41,78.024
656.74,78.026
657.07,78.025
657.4,78.022
657.73,78.005
658.06,78.006
658.39,78.007
658.72,77.993
659.05,77.989
659.38,78.005
659.71,78.013
660.04,77.994
660.38,77.974
660.71,77.983
661.04,77.996
661.37,77.994
661.7,77.997
662.03,78.013
662.35,78.023
662.68,78.04
663.01,78.04
663.34,78.072
663.67,78.058
664,78.044
664.33,78.055
664.66,78.046
664.99,78.031
665.32,78.035
665.65,78.054
665.98,78.067
666.31,78.075
666.64,78.083
666.97,78.075
667.3,78.072
667.63,78.073
667.96,78.06
668.28,78.05
668.61,78.03
668.94,78.002
669.27,78.004
669.6,78.016
669.93,78.006
670.26,78.009
670.59,78.008
670.92,77.966
671.24,77.943
671.57,77.936
671.9,77.958
672.23,77.955
672.56,77.949
672.89,77.951
673.22,77.94
673.54,77.933
673.87,77.942
674.2,77.93
674.53,77.929
674.86,77.921
675.18,77.907
675.51,77.9
675.84,77.894
676.17,77.876
676.5,77.881
676.82,77.863
677.15,77.854
677.48,77.82
677.81,77.805
678.14,77.767
678.46,77.744
678.79,77.744
679.12,77.758
679.45,77.731
679.77,77.75
680.1,77.768
680.43,77.763
680.76,77.777
681.08,77.772
681.41,77.761
681.74,77.758
682.07,77.776
682.39,77.794
682.72,77.783
683.05,77.796
683.37,77.787
683.7,77.803
684.03,77.793
684.35,77.776
684.68,77.753
685.01,77.728
685.33,77.715
685.66,77.704
685.99,77.698
686.31,77.696
686.64,77.708
686.97,77.715
687.29,77.706
687.62,77.696
687.95,77.697
688.27,77.716
688.6,77.729
688.93,77.737
689.25,77.744
689.58,77.75
689.9,77.747
690.23,77.738
690.56,77.746
690.88,77.743
691.21,77.719
691.53,77.714
691.86,77.667
692.19,77.659
692.51,77.671
692.84,77.675
693.16,77.663
693.49,77.645
693.81,77.621
694.14,77.578
694.46,77.574
694.79,77.576
695.12,77.583
695.44,77.598
695.77,77.613
696.09,77.61
696.42,77.61
696.74,77.624
697.07,77.641
697.39,77.672
697.72,77.646
698.04,77.628
698.37,77.593
698.69,77.596
699.02,77.614
699.34,77.635
699.67,77.662
699.99,77.642
700.32,77.629
700.64,77.628
700.96,77.62
701.29,77.601
701.61,77.595
701.94,77.611
702.26,77.628
702.59,77.591
702.91,77.578
703.24,77.602
703.56,77.602
703.88,77.613
704.21,77.593
704.53,77.585
704.86,77.563
705.18,77.545
705.5,77.535
705.83,77.517
706.15,77.48
706.48,77.46
706.8,77.475
707.12,77.521
707.45,77.499
707.77,77.464
708.09,77.486
708.42,77.488
708.74,77.457
709.06,77.433
709.39,77.43
709.71,77.421
710.03,77.404
710.36,77.421
710.68,77.411
711,77.42
711.33,77.431
711.65,77.46
711.97,77.482
712.3,77.476
712.62,77.433
712.94,77.443
713.26,77.449
713.59,77.444
713.91,77.431
714.23,77.423
714.56,77.442
714.88,77.446
715.2,77.467
715.52,77.475
715.85,77.442
716.17,77.431
716.49,77.435
