wl,floor_5,floor_4,floor_3,floor_2,floor_1
268.7,12800,3075,9850,3925,-5525
269.08,-768.75,-23.437,-546.875,-240.625,370.313
269.45,-1067.391,17.391,-817.391,-465.217,510.87
269.83,1950,46.875,1362.5,825,-453.125
270.21,1595.238,123.81,1011.905,700,-371.429
270.59,-1200,-96,-740,-654,462
270.97,-1304.444,-88.889,-957.778,-731.111,440
271.35,-723.81,-8.333,-632.143,-426.19,209.524
271.73,-2375,-192.857,-2053.571,-1303.571,364.286
272.11,-1106.667,-65,-1048.333,-575,203.333
272.49,-1085.714,-71.429,-923.81,-525.397,247.619
272.87,-12516.667,-450,-10566.667,-6200,1983.333
273.25,1330.508,81.356,1132.203,681.356,-120.339
273.63,1120.896,-59.701,923.881,501.493,-171.642
274.01,620.833,5.833,502.5,267.5,-72.5
274.39,499.324,52.027,418.919,191.216,-45.27
274.76,432.432,60,348.649,168.108,-32.432
275.14,426.563,51.042,374.479,159.896,5.208
275.52,481.29,74.194,467.742,193.548,-3.226
275.9,450,92.683,453.049,151.22,-15.244
276.28,423.469,114.796,409.694,164.286,-4.592
276.66,314.717,103.396,313.962,127.17,21.132
277.04,309.231,99.231,307.692,130.385,25.385
277.42,275,94.318,292.424,112.5,6.818
277.79,280.537,93.96,282.886,87.248,19.463
278.17,373.182,107.273,367.273,110.455,-8.182
278.55,315.2,94.8,336,103.2,21.6
278.93,379.365,80.952,396.296,97.884,-30.159
279.31,226.936,56.229,225.253,67.34,-7.407
279.69,193.207,61.413,185.326,58.967,-3.804
280.07,202.887,68.766,178.478,61.68,7.349
280.44,215.057,56.25,202.557,65.909,9.091
280.82,223.006,52.147,203.374,56.748,-5.215
281.2,214.045,49.438,185.112,73.315,2.809
281.58,227.221,63.324,191.691,69.628,-13.181
281.96,198.718,65.897,169.744,64.615,-7.179
282.34,193.842,65.271,177.34,52.956,-3.448
282.71,183.75,56,179.25,51.5,2.5
283.09,196.774,48.656,198.387,66.935,-4.839
283.47,190.957,49.468,202.66,50,-9.043
283.85,270.149,76.866,276.119,73.134,-7.09
284.23,337.368,93.684,365.789,83.158,-34.737
284.6,417.483,80.42,455.944,125.175,-101.399
284.98,252.174,63.913,281.304,85.652,-57.391
285.36,276.712,55.251,299.543,85.845,-44.292
285.74,206.69,64.437,226.761,63.38,-46.831
286.12,204.651,56.811,218.937,75.083,-48.837
286.49,181.39,52.854,185.112,70.968,-24.069
286.87,150.658,58.114,160.526,66.886,-15.789
287.25,136.517,58.052,150.562,65.356,8.052
287.63,128.237,60.998,143.214,64.275,15.757
288,124.189,54.425,137.611,64.602,18.142
288.38,125.321,49.519,145.513,53.526,12.5
288.76,127.797,44.237,150.339,56.949,14.407
289.14,127.009,54.188,147.863,55.897,24.274
289.52,112.154,55.077,135.846,53.385,24
289.89,119.139,58.692,142.584,56.14,23.764
290.27,116.364,59.545,134.545,67.273,34.697
290.65,111.509,62.519,136.858,68.896,41.991
291.02,108.576,55.896,133.691,65.697,43.338
291.4,101.397,53.492,128.631,61.453,40.922
291.78,102.52,61.936,127.188,66.976,44.032
292.16,104.599,63.732,129.041,66.491,47.043
292.53,108.906,65.649,126.209,71.247,49.491
292.91,113.21,67.503,139.366,79.26,50.727
293.29,123.004,78.484,149.12,85.25,62.111
293.66,117.789,80.94,143.202,87.548,60.102
294.04,117.408,85.471,147.906,87.173,63.613
294.42,112.754,83.175,143.148,90.502,66.486
294.8,108.619,74.778,139.67,83.904,61.85
295.17,109.441,75.901,141.118,87.702,62.981
295.55,101.054,78.689,139.344,82.084,60.304
295.93,100.479,79.641,143.473,83.473,61.198
296.3,103.758,73.818,142.788,87.636,66.061
296.68,100.491,75.337,149.08,88.466,65.521
297.06,101.868,77.21,145.953,91.407,69.365
297.43,101.625,75.375,143,84.625,69.875
297.81,97.113,69.816,139.501,87.008,67.717
298.19,100.665,67.287,138.298,92.819,66.489
298.56,103.659,65.854,139.295,86.856,74.255
298.94,119.581,73.842,158.595,88.341,85.949
299.32,109.417,79.522,163.229,86.547,85.8
299.69,106.619,71.223,161.295,89.209,83.453
300.07,100.289,64.162,153.757,88.15,75.289
300.45,99.713,64.275,151.65,99.139,72.884
300.82,107.668,73.642,164.696,100.799,84.026
301.2,113.193,82.609,155.622,101.949,84.258
301.57,108.514,85.281,160.317,101.732,82.251
301.95,102.782,83.455,160.469,100.293,83.748
302.33,105.638,84.966,157.315,100.403,86.443
302.7,115.313,90.413,168.043,115.446,96.138
303.08,120.368,95.926,168.2,121.419,96.189
303.45,126.639,92.329,167.782,122.315,88.842
303.83,133.234,97.765,173.77,125.186,88.823
304.21,143.657,104.942,190.61,119.769,85.667
304.58,147.482,105.576,188.849,117.626,91.187
304.96,120.684,87.403,159.098,98.134,88.491
305.33,105.891,69.425,136.466,84.712,77.84
305.71,106.465,70.014,137.827,81.431,75.516
306.09,110.967,74.459,138.095,82.684,73.449
306.46,100,73.794,128.422,77.445,67.014
306.84,94.4,74.933,126.8,72.133,62.667
307.21,89.877,77.407,127.284,72.346,61.728
307.59,96.855,79.948,136.173,69.987,65.007
307.96,90.262,84.884,145.349,69.622,62.064
308.34,73.171,74.797,134.417,63.279,61.653
308.72,78.158,71.711,125.789,54.342,66.842
309.09,71.278,67.589,118.05,53.755,62.319
309.47,65.842,65.718,102.723,50.99,53.218
309.84,60.963,63.878,100.38,52.091,44.74
310.22,55.422,63.494,90.241,55.181,48.193
310.59,51.095,63.382,92.944,58.151,43.309
310.97,46.919,69.194,83.886,49.171,42.891
311.34,50.536,71.037,83.671,50.536,43.504
311.72,54.695,78.052,84.272,54.812,40.258
312.09,55.914,82.796,89.785,59.57,45.484
312.47,55.226,81.738,89.439,60.176,43.014
312.84,48.952,80.294,80.189,58.071,49.476
313.22,51.973,89.177,80.045,63.472,49.154
313.59,54.658,86.025,76.915,66.356,48.447
313.97,53.158,81.827,76.093,66.764,49.563
314.34,50.478,80.21,71.893,61.09,44.551
314.72,51.503,83.414,69.738,59.748,44.229
315.09,51.662,81.269,69.386,57.1,42.9
315.47,55.296,81.244,68.027,61.224,45.384
315.84,57.793,84.124,69.797,68.925,46.273
316.22,51.923,84.038,67.788,65.385,43.558
316.59,52.58,81.013,58.325,60.954,35.248
316.97,57.195,79.276,55.928,60.09,41.81
317.34,58.155,75.582,59.646,57.223,40.354
317.71,56.811,78.708,60.848,54.894,42.381
318.09,50.787,74.606,56.201,53.346,37.697
318.46,50.097,74.178,52.611,49.903,35.977
318.84,45.361,74.039,47.798,51.172,39.269
319.21,45.48,75.928,48.716,46.242,38.44
319.59,41.876,71.857,45.648,45.938,37.718
319.96,46.575,76.81,46.477,51.566,38.552
320.34,47.913,75.408,42.831,52.45,42.468
320.71,46.895,70.387,39.514,54.365,43.744
321.08,43.601,73.786,39.1,51.633,46.778
321.46,44.239,72.032,38.083,55.057,52.155
321.83,39.646,69.949,34.764,51.768,52.609
322.21,41.98,67.406,32.167,47.782,51.792
322.58,43.907,72.12,32.805,44.741,58.598
322.95,43.603,72.896,34.343,42.424,58.418
323.33,41.354,76.346,39.315,44.943,59.299
323.7,43.134,78.602,45.072,49.874,61.331
324.08,39.035,78.239,46.486,46.401,60.288
324.45,35.804,83.482,42.054,43.482,64.018
324.82,41.544,84.562,43.018,46.661,66.349
325.2,42.936,90.305,43.49,44.691,65.466
325.57,43.165,96.506,41.11,50.668,66.495
325.94,43.644,99.6,40.741,54.555,63.664
326.32,50.095,97.07,44.14,55.671,62.76
326.69,52.536,96.92,41.123,53.261,56.25
327.07,50.043,94.488,46.339,50.56,51.421
327.44,56.213,101.457,51.414,56.984,55.527
327.81,52.754,102.41,53.27,56.368,54.561
328.19,58.427,101.383,52.982,52.463,51.513
328.56,58.162,97.591,51.204,46.209,44.335
328.93,58.227,99.726,51.92,47.258,40.585
329.31,55.852,109.24,50,48.255,33.265
329.68,56.163,115.93,51.628,50.581,28.372
330.05,56.471,112.235,47.294,45.529,28.118
330.43,55.365,107.534,46.347,44.635,32.534
330.8,57.027,109.524,44.135,42.625,36.237
331.17,50.337,107.865,47.753,45.506,34.157
331.54,47.375,108.051,50.758,39.09,34.656
331.92,51.066,112.296,48.181,33.626,34.755
332.29,55.99,120.933,52.585,30.265,35.813
332.66,54.825,125.594,44.615,22.657,35.524
333.04,51.163,133.798,33.488,18.45,29.147
333.41,62.639,137.361,34.817,25.596,37.838
333.78,61.335,140.528,33.54,24.689,47.981
334.15,66.096,154.281,35.445,19.007,43.493
334.53,79.934,152.138,36.184,27.961,39.803
334.9,83.333,162.795,48.485,27.778,36.195
335.27,85.163,144.214,53.264,42.73,41.395
335.65,83.754,134.174,52.941,36.835,41.877
336.02,91.787,143.084,59.366,44.092,57.349
336.39,91.871,144.939,61.656,48.926,50
336.76,86.261,128.895,53.824,53.541,44.051
337.14,87.836,125.318,50.071,51.202,44.554
337.51,84.519,124.128,45.467,38.215,43.933
337.88,95.157,130.484,50,38.462,49.573
338.25,95.94,125.846,48.579,36.13,46.955
338.62,91.014,113.864,43.132,32.991,44.416
339,93.458,115.888,44.726,31.509,42.59
339.37,100.793,110.172,35.931,32.761,45.839
339.74,107.778,110.139,32.917,35.139,44.861
340.11,103.022,107.83,22.665,30.495,33.791
340.49,105.66,118.868,14.151,25.157,36.478
340.86,104.545,116.234,1.461,17.695,32.955
341.23,93.926,109.481,4.889,25.037,41.185
341.6,96.218,111.195,4.236,24.054,42.663
341.97,88.939,109.716,6.726,25.859,48.879
342.35,97.594,108.824,22.326,30.749,52.674
342.72,106.667,110.533,30.667,35.467,53.067
343.09,112.393,121.795,35.47,35.755,54.843
343.46,118.868,133.333,24.686,39.937,52.516
343.83,125.876,132.721,21.87,47.913,54.925
344.2,136.555,137.258,15.466,47.1,63.445
344.58,153.05,163.216,24.954,46.58,75.416
344.95,155.769,165,23.462,46.923,78.654
345.32,146.416,150.512,16.553,45.051,68.771
345.69,135.843,150.452,22.892,54.669,67.922
346.06,144.127,156.024,26.054,63.102,69.578
346.43,135.598,151.108,36.928,65.14,62.629
346.8,137.409,157.06,38.282,70.015,63.901
347.18,132.357,152.301,41.841,71.548,72.664
347.55,134.503,156.725,34.795,59.649,65.497
347.92,137.385,167.231,33.692,57.385,61.692
348.29,132.106,159.794,31.811,57.585,69.514
348.66,123.71,150.488,37.099,56.067,63.877
349.03,127.914,158.561,38.561,56.547,65.324
349.4,115.579,149.534,42.077,56.591,69.907
