wl,white_fabric,spyedark
333.41,32.236,6.052
333.78,34.691,7.317
334.15,32.86,5.914
334.53,32.459,4.297
334.9,32.013,3.341
335.27,34.478,4.854
335.65,33.163,5.491
336.02,32.207,4.411
336.39,32.243,4.31
336.76,30.738,4.399
337.14,31.472,4.833
337.51,31.971,4.271
337.88,32.768,4.836
338.25,32.948,4.256
338.62,32.14,4.45
339,31.558,3.241
339.37,31.117,3.001
339.74,29.247,2.521
340.11,30.534,2.758
340.49,30.037,2.435
340.86,29.161,1.034
341.23,30.088,1.417
341.6,29.179,-0.22
341.97,29.312,-1.377
342.35,29.019,-1.349
342.72,33.105,-3.469
343.09,32.589,-4.689
343.46,33.576,-3.051
343.83,33.277,-1.988
344.2,33.259,-2.402
344.58,31.8,-3.508
344.95,32.233,-3.106
345.32,33.31,-1.132
345.69,33.756,-0.353
346.06,33.666,-0.639
346.43,34.634,-0.481
346.8,35.165,-0.295
347.18,35.295,0.676
347.55,35.268,0.367
347.92,34.955,0.969
348.29,34.066,0.56
348.66,34.417,1.501
349.03,35.111,1.637
349.4,35.468,2.85
349.77,33.526,1.6
350.15,34.08,1.158
350.52,33.708,0.935
350.89,32.638,0.532
351.26,31.929,0.288
351.63,31.124,0.492
352,31.888,0.538
352.37,32.32,1.051
352.74,32.809,0.475
353.11,31.649,-0.498
353.48,30.944,-1.676
353.85,31.057,-2.311
354.22,31.899,-2.776
354.59,31.37,-3.548
354.97,31.558,-3.86
355.34,30.916,-4.468
355.71,30.803,-4.176
356.08,30.963,-4.051
356.45,31.147,-4.319
356.82,31.591,-4.011
357.19,32.176,-3.771
357.56,32.361,-3.011
357.93,32.512,-2.811
358.3,32.791,-2.745
358.67,33.177,-2.05
359.04,33.586,-1.873
359.41,32.884,-2.249
359.78,32.979,-2.499
360.15,33.139,-1.901
360.52,33.721,-1.682
360.89,34.097,-1.238
361.26,33.891,-1.389
361.63,33.869,-1.12
362,34.418,-0.461
362.37,35.173,-0.459
362.74,34.937,-0.948
363.11,34.883,-0.764
363.48,35.242,-0.619
363.85,35.731,-0.279
364.21,36.235,0.104
364.58,36.157,0.078
364.95,36.81,0.463
365.32,37.17,-0.399
365.69,37.542,-0.199
366.06,37.546,-0.44
366.43,37.76,-0.676
366.8,37.275,-0.513
367.17,37.452,-0.441
367.54,37.949,-0.266
367.91,37.969,-0.383
368.28,38.145,-0.441
368.65,38.375,-0.385
369.01,38.644,-0.395
369.38,38.8,-0.83
369.75,39.104,-1.042
370.12,39.59,-0.876
370.49,39.525,-1.381
370.86,39.748,-1.46
371.23,39.975,-1.353
371.6,40.331,-1.241
371.96,40.534,-1.24
372.33,41.016,-1.21
372.7,41.503,-1.108
373.07,41.706,-1.05
373.44,41.875,-1.224
373.81,42.2,-1
374.18,42.433,-0.917
374.54,42.881,-0.56
374.91,43.288,-0.269
375.28,43.49,0.041
375.65,43.768,0.141
376.02,44.019,0.364
376.38,44.364,0.532
376.75,44.539,0.723
377.12,45.005,1.069
377.49,45.24,1.447
377.86,45.425,1.835
378.22,45.57,2.05
378.59,45.928,2.447
378.96,46.162,2.759
379.33,46.394,3.247
379.7,46.807,3.561
380.06,47.183,3.744
380.43,47.477,3.917
380.8,47.866,4.087
381.17,48.133,4.338
381.53,48.379,4.273
381.9,48.56,4.401
382.27,48.621,4.543
382.64,48.833,4.6
383,49.088,4.925
383.37,49.363,5.257
383.74,49.664,5.337
384.11,49.844,5.408
384.47,50.001,5.369
384.84,50.24,5.54
385.21,50.523,5.546
385.57,50.905,5.799
385.94,51.001,5.79
386.31,50.985,6.147
386.68,51.188,6.455
387.04,51.58,6.85
387.41,51.703,7.049
387.78,51.786,7.182
388.14,51.683,7.345
388.51,51.896,7.519
388.88,51.869,7.84
389.24,51.787,8.37
389.61,51.902,8.582
389.98,51.971,8.983
390.34,52.154,9.386
390.71,52.262,9.676
391.08,52.331,9.855
391.44,52.329,9.936
391.81,52.551,10.174
392.17,52.69,10.389
392.54,52.927,10.572
392.91,53.063,10.846
393.27,53.153,10.992
393.64,53.278,11.254
394.01,53.277,11.606
394.37,53.463,11.96
394.74,53.523,12.166
395.1,53.663,12.437
395.47,53.663,12.558
395.84,53.832,12.677
396.2,53.928,12.75
396.57,54.025,12.928
396.93,54.134,13.126
397.3,54.403,13.287
397.66,54.562,13.581
398.03,54.501,13.8
398.4,54.585,13.897
398.76,54.729,14.13
399.13,54.904,14.317
399.49,55.038,14.423
399.86,54.94,14.538
400.22,54.989,14.746
400.59,55.006,14.837
400.95,55.158,15.119
401.32,55.306,15.177
401.68,55.477,15.212
402.05,55.516,15.331
402.42,55.458,15.318
402.78,55.492,15.416
403.15,55.696,15.4
403.51,55.692,15.441
403.88,55.733,15.598
404.24,55.725,15.735
404.61,55.653,15.898
404.97,55.674,16.036
405.34,55.681,16.218
405.7,55.77,16.376
406.06,55.952,16.609
406.43,55.955,16.886
406.79,56.073,16.975
407.16,56.165,17.038
407.52,56.186,17.134
407.89,56.235,17.263
408.25,56.423,17.522
408.62,56.487,17.6
408.98,56.61,17.888
409.35,56.638,18.054
409.71,56.799,18.252
410.07,56.926,18.179
410.44,56.959,18.103
410.8,56.997,18.042
411.17,57.079,18.126
411.53,57.174,18.173
411.89,57.231,18.182
412.26,57.338,18.303
412.62,57.525,18.314
412.99,57.774,18.459
413.35,57.811,18.596
413.71,57.91,18.609
414.08,57.888,18.601
414.44,57.986,18.771
414.81,58.188,18.926
415.17,58.261,18.995
415.53,58.424,19.06
415.9,58.468,19.179
416.26,58.434,19.17
416.62,58.571,19.091
416.99,58.533,19.076
417.35,58.581,19.056
417.71,58.663,19.145
418.08,58.661,19.199
418.44,58.757,19.216
418.8,58.732,19.105
419.17,58.861,19.128
419.53,58.846,19.295
419.89,58.853,19.335
420.26,58.81,19.396
420.62,58.787,19.343
420.98,58.74,19.397
421.35,58.882,19.401
421.71,59.072,19.355
422.07,59.062,19.342
422.43,59.13,19.288
422.8,59.236,19.304
423.16,59.289,19.334
423.52,59.411,19.366
423.89,59.373,19.307
424.25,59.509,19.397
424.61,59.371,19.282
424.97,59.364,19.208
425.34,59.393,19.305
425.7,59.385,19.354
426.06,59.446,19.427
426.42,59.492,19.387
426.79,59.392,19.471
427.15,59.39,19.507
427.51,59.247,19.407
427.87,59.31,19.473
428.23,59.329,19.495
428.6,59.298,19.456
428.96,59.489,19.62
429.32,59.486,19.601
429.68,59.582,19.576
430.04,59.649,19.413
430.41,59.512,19.281
430.77,59.443,19.138
431.13,59.54,19.135
431.49,59.559,19.069
431.85,59.539,19.149
432.21,59.571,19.081
432.58,59.418,18.905
432.94,59.39,18.699
433.3,59.416,18.702
433.66,59.445,18.693
434.02,59.515,18.781
434.38,59.539,18.847
434.75,59.586,18.826
435.11,59.608,18.759
435.47,59.658,18.828
435.83,59.659,18.781
436.19,59.589,18.716
436.55,59.533,18.659
436.91,59.484,18.583
437.27,59.531,18.512
437.64,59.718,18.505
438,59.703,18.439
438.36,59.591,18.396
438.72,59.591,18.433
439.08,59.527,18.413
439.44,59.643,18.382
439.8,59.741,18.373
440.16,59.638,18.582
440.52,59.821,18.776
440.88,59.899,18.856
441.24,59.891,18.685
441.6,59.966,18.698
441.96,59.953,18.725
442.32,60.062,18.821
442.69,60.118,18.837
443.05,60.222,18.807
443.41,60.277,18.909
443.77,60.278,18.938
444.13,60.292,18.9
444.49,60.291,18.904
444.85,60.17,18.843
445.21,60.207,18.932
445.57,60.271,19.001
445.93,60.344,19.003
446.29,60.253,18.902
446.65,60.367,18.938
447.01,60.461,18.922
447.37,60.531,18.879
447.73,60.541,18.852
448.09,60.638,18.869
448.45,60.645,18.911
448.81,60.603,18.98
449.17,60.743,19
449.53,60.899,18.97
449.88,60.912,18.883
450.24,61.025,18.872
450.6,61.065,18.8
450.96,61.139,18.802
451.32,61.215,18.821
451.68,61.284,18.853
452.04,61.281,18.86
452.4,61.273,18.704
452.76,61.261,18.618
453.12,61.218,18.582
453.48,61.225,18.641
453.84,61.333,18.699
454.2,61.407,18.861
454.56,61.355,18.915
454.91,61.416,18.97
455.27,61.43,18.873
455.63,61.437,18.913
455.99,61.494,18.996
456.35,61.528,19.103
456.71,61.355,19.101
457.07,61.335,19.146
457.43,61.383,19.178
457.78,61.35,19.135
458.14,61.402,19.136
458.5,61.396,19.187
458.86,61.458,19.237
459.22,61.476,19.259
459.58,61.541,19.291
459.94,61.574,19.212
460.29,61.728,19.208
460.65,61.761,19.231
461.01,61.714,19.303
461.37,61.783,19.277
461.73,61.792,19.318
462.08,61.884,19.319
462.44,61.879,19.364
462.8,61.905,19.495
463.16,61.96,19.6
463.52,62.01,19.507
463.87,61.885,19.491
464.23,61.892,19.512
464.59,61.999,19.574
464.95,62.007,19.595
465.31,61.979,19.602
465.66,61.953,19.566
466.02,61.923,19.569
466.38,61.88,19.493
466.74,61.817,19.428
467.09,61.846,19.473
467.45,61.908,19.543
467.81,61.978,19.669
468.17,62.07,19.707
468.52,62.053,19.698
468.88,62.116,19.628
469.24,62.033,19.63
469.59,62.095,19.684
469.95,62.071,19.704
470.31,62.152,19.729
470.67,62.18,19.818
471.02,62.177,19.808
471.38,62.205,19.861
471.74,62.235,19.915
472.09,62.236,19.836
472.45,62.232,19.855
472.81,62.224,19.905
473.16,62.251,20.015
473.52,62.173,19.988
473.88,62.166,20.02
474.23,62.156,20.002
474.59,62.12,19.965
474.95,62.125,19.921
475.3,62.137,19.93
475.66,62.081,19.965
476.02,62.125,20.03
476.37,62.126,20.084
476.73,62.149,20.07
477.09,62.179,20.075
477.44,62.194,20.062
477.8,62.176,20.124
478.15,62.233,20.207
478.51,62.242,20.227
478.87,62.306,20.262
479.22,62.312,20.288
479.58,62.325,20.265
479.93,62.451,20.227
480.29,62.514,20.233
480.65,62.549,20.256
481,62.579,20.293
481.36,62.563,20.326
481.71,62.583,20.315
482.07,62.567,20.267
482.42,62.587,20.272
482.78,62.683,20.342
483.14,62.673,20.39
483.49,62.688,20.393
483.85,62.699,20.472
484.2,62.674,20.423
