wl,grey,white
281.58,4.41E-02,5.68E-02
281.96,4.38E-02,5.26E-02
282.34,4.30E-02,5.23E-02
282.71,4.20E-02,5.03E-02
283.09,4.30E-02,5.59E-02
283.47,3.77E-02,4.74E-02
283.85,3.93E-02,4.87E-02
284.23,3.63E-02,4.25E-02
284.6,3.39E-02,4.38E-02
284.98,3.02E-02,4.35E-02
285.36,2.94E-02,4.09E-02
285.74,3.04E-02,3.85E-02
286.12,3.18E-02,3.77E-02
286.49,3.14E-02,3.40E-02
286.87,3.47E-02,3.51E-02
287.25,3.74E-02,3.14E-02
287.63,3.67E-02,3.31E-02
288,3.58E-02,2.77E-02
288.38,3.10E-02,2.24E-02
288.76,3.51E-02,2.43E-02
289.14,3.83E-02,2.87E-02
289.52,3.70E-02,2.41E-02
289.89,3.27E-02,2.35E-02
290.27,2.74E-02,1.80E-02
290.65,3.06E-02,1.94E-02
291.02,2.61E-02,1.79E-02
291.4,2.68E-02,2.14E-02
291.78,2.76E-02,2.03E-02
292.16,2.80E-02,2.20E-02
292.53,2.63E-02,2.16E-02
292.91,2.37E-02,2.10E-02
293.29,2.34E-02,2.16E-02
293.66,2.66E-02,1.80E-02
294.04,2.28E-02,1.47E-02
294.42,2.14E-02,1.49E-02
294.8,2.33E-02,1.39E-02
295.17,2.41E-02,1.42E-02
295.55,2.33E-02,1.20E-02
295.93,2.61E-02,1.46E-02
296.3,2.65E-02,1.22E-02
296.68,2.43E-02,1.45E-02
297.06,2.16E-02,1.36E-02
297.43,2.29E-02,1.49E-02
297.81,2.33E-02,1.54E-02
298.19,2.52E-02,1.57E-02
298.56,2.32E-02,1.61E-02
298.94,1.83E-02,1.74E-02
299.32,1.54E-02,1.61E-02
299.69,1.10E-02,1.48E-02
300.07,1.16E-02,1.44E-02
300.45,8.18E-03,1.47E-02
300.82,6.74E-03,1.40E-02
301.2,5.72E-03,1.32E-02
301.57,2.03E-03,9.27E-03
301.95,1.37E-03,1.03E-02
302.33,7.35E-03,1.19E-02
302.7,1.21E-02,1.69E-02
303.08,1.06E-02,2.00E-02
303.45,1.53E-02,2.02E-02
303.83,1.60E-02,2.10E-02
304.21,1.50E-02,2.21E-02
304.58,1.64E-02,1.94E-02
304.96,1.64E-02,1.76E-02
305.33,2.08E-02,1.84E-02
305.71,2.39E-02,1.90E-02
306.09,2.59E-02,2.01E-02
306.46,2.75E-02,1.99E-02
306.84,2.71E-02,2.05E-02
307.21,2.73E-02,2.08E-02
307.59,2.87E-02,2.30E-02
307.96,2.79E-02,2.20E-02
308.34,2.86E-02,2.24E-02
308.72,2.65E-02,2.15E-02
309.09,2.65E-02,2.17E-02
309.47,3.17E-02,2.33E-02
309.84,3.17E-02,2.23E-02
310.22,3.03E-02,2.19E-02
310.59,2.81E-02,2.17E-02
310.97,2.53E-02,2.03E-02
311.34,2.66E-02,2.05E-02
311.72,2.99E-02,2.04E-02
312.09,3.37E-02,2.27E-02
312.47,3.56E-02,2.23E-02
312.84,3.55E-02,2.13E-02
313.22,3.53E-02,2.20E-02
313.59,3.67E-02,2.35E-02
313.97,3.78E-02,2.40E-02
314.34,3.79E-02,2.32E-02
314.72,3.78E-02,2.47E-02
315.09,3.84E-02,2.56E-02
315.47,3.66E-02,2.25E-02
315.84,3.12E-02,2.26E-02
316.22,3.02E-02,1.97E-02
316.59,3.01E-02,2.17E-02
316.97,2.86E-02,2.39E-02
317.34,2.61E-02,2.23E-02
317.71,2.49E-02,2.03E-02
318.09,2.48E-02,1.96E-02
318.46,2.57E-02,2.00E-02
318.84,2.59E-02,2.00E-02
319.21,2.76E-02,1.81E-02
319.59,2.45E-02,1.77E-02
319.96,2.10E-02,1.50E-02
320.34,2.08E-02,1.26E-02
320.71,2.12E-02,1.11E-02
321.08,2.20E-02,1.02E-02
321.46,1.99E-02,1.19E-02
321.83,1.68E-02,9.36E-03
322.21,1.61E-02,1.07E-02
322.58,1.44E-02,1.05E-02
322.95,1.66E-02,1.27E-02
323.33,2.19E-02,1.61E-02
323.7,2.37E-02,1.57E-02
324.08,2.02E-02,1.30E-02
324.45,1.89E-02,1.33E-02
324.82,1.49E-02,1.10E-02
325.2,1.53E-02,1.24E-02
325.57,1.66E-02,1.30E-02
325.94,1.42E-02,1.06E-02
326.32,1.54E-02,9.36E-03
326.69,1.73E-02,1.11E-02
327.07,1.68E-02,9.53E-03
327.44,1.69E-02,9.10E-03
327.81,1.87E-02,8.79E-03
328.19,2.11E-02,7.27E-03
328.56,2.12E-02,9.06E-03
328.93,2.24E-02,6.43E-03
329.31,2.34E-02,6.82E-03
329.68,2.54E-02,7.27E-03
330.05,2.56E-02,9.37E-03
330.43,2.44E-02,9.34E-03
330.8,2.21E-02,1.00E-02
331.17,2.03E-02,1.08E-02
331.54,1.90E-02,1.21E-02
331.92,2.11E-02,1.39E-02
332.29,2.04E-02,1.13E-02
332.66,2.25E-02,1.43E-02
333.04,2.24E-02,1.32E-02
333.41,2.36E-02,1.64E-02
333.78,2.56E-02,1.50E-02
334.15,2.47E-02,1.48E-02
334.53,2.54E-02,1.37E-02
334.9,2.73E-02,1.52E-02
335.27,2.61E-02,1.15E-02
335.65,2.37E-02,9.32E-03
336.02,2.23E-02,8.64E-03
336.39,2.30E-02,1.06E-02
336.76,1.98E-02,9.39E-03
337.14,2.10E-02,1.06E-02
337.51,1.92E-02,9.09E-03
337.88,2.09E-02,8.75E-03
338.25,2.27E-02,1.09E-02
338.62,2.24E-02,1.36E-02
339,2.20E-02,1.30E-02
339.37,1.84E-02,1.06E-02
339.74,1.41E-02,9.00E-03
340.11,1.46E-02,1.06E-02
340.49,1.61E-02,1.26E-02
340.86,1.75E-02,1.12E-02
341.23,1.74E-02,1.23E-02
341.6,1.53E-02,1.28E-02
341.97,1.78E-02,1.29E-02
342.35,1.78E-02,1.39E-02
342.72,1.75E-02,1.29E-02
343.09,1.72E-02,1.33E-02
343.46,2.13E-02,1.50E-02
343.83,2.10E-02,1.50E-02
344.2,1.98E-02,1.33E-02
344.58,2.31E-02,1.68E-02
344.95,2.26E-02,1.64E-02
345.32,2.50E-02,2.01E-02
345.69,2.46E-02,2.11E-02
346.06,2.36E-02,1.85E-02
346.43,2.24E-02,1.74E-02
346.8,2.23E-02,1.73E-02
347.18,2.17E-02,1.36E-02
347.55,2.15E-02,1.62E-02
347.92,2.22E-02,1.94E-02
348.29,2.30E-02,1.88E-02
348.66,2.41E-02,2.00E-02
349.03,2.54E-02,1.97E-02
349.4,2.44E-02,1.96E-02
349.77,2.54E-02,2.04E-02
350.15,2.35E-02,2.27E-02
350.52,2.14E-02,1.98E-02
350.89,2.17E-02,1.76E-02
351.26,2.06E-02,1.72E-02
351.63,2.42E-02,1.97E-02
352,2.66E-02,2.12E-02
352.37,2.51E-02,1.94E-02
352.74,1.82E-02,1.43E-02
353.11,1.60E-02,1.54E-02
353.48,1.40E-02,1.20E-02
353.85,1.40E-02,9.34E-03
354.22,1.13E-02,8.81E-03
354.59,1.32E-02,9.02E-03
354.97,1.31E-02,1.11E-02
355.34,1.27E-02,1.13E-02
355.71,1.07E-02,8.94E-03
356.08,1.16E-02,1.07E-02
356.45,1.33E-02,1.09E-02
356.82,1.25E-02,1.17E-02
357.19,1.36E-02,1.36E-02
357.56,1.07E-02,1.12E-02
357.93,9.90E-03,8.51E-03
358.3,8.17E-03,9.79E-03
358.67,1.06E-02,1.25E-02
359.04,9.40E-03,1.36E-02
359.41,1.30E-02,2.02E-02
359.78,1.49E-02,2.05E-02
360.15,1.52E-02,1.76E-02
360.52,1.55E-02,1.95E-02
360.89,1.51E-02,1.60E-02
361.26,1.59E-02,1.68E-02
361.63,1.70E-02,1.89E-02
362,1.75E-02,1.85E-02
362.37,1.76E-02,1.51E-02
362.74,2.03E-02,1.91E-02
363.11,1.90E-02,1.98E-02
363.48,1.82E-02,1.89E-02
363.85,1.68E-02,1.86E-02
364.21,1.72E-02,1.72E-02
364.58,1.88E-02,1.84E-02
364.95,2.16E-02,1.87E-02
365.32,2.26E-02,1.80E-02
365.69,2.29E-02,1.97E-02
366.06,2.57E-02,2.21E-02
366.43,2.66E-02,2.45E-02
366.8,2.40E-02,2.14E-02
367.17,2.56E-02,2.22E-02
367.54,2.82E-02,2.29E-02
367.91,2.89E-02,2.58E-02
368.28,2.91E-02,2.19E-02
368.65,2.98E-02,2.43E-02
369.01,3.07E-02,2.43E-02
369.38,2.98E-02,2.14E-02
369.75,3.04E-02,2.14E-02
370.12,3.03E-02,2.33E-02
370.49,3.37E-02,2.46E-02
370.86,3.46E-02,2.44E-02
371.23,3.66E-02,2.55E-02
371.6,3.56E-02,1.98E-02
371.96,3.37E-02,1.64E-02
372.33,3.39E-02,1.69E-02
372.7,3.26E-02,1.50E-02
373.07,3.18E-02,1.84E-02
373.44,2.94E-02,1.70E-02
373.81,2.92E-02,1.54E-02
374.18,2.96E-02,1.64E-02
374.54,3.07E-02,2.01E-02
374.91,3.04E-02,1.95E-02
375.28,3.16E-02,1.99E-02
375.65,3.20E-02,2.14E-02
376.02,3.06E-02,1.86E-02
376.38,3.03E-02,1.82E-02
376.75,2.86E-02,1.84E-02
377.12,2.90E-02,1.94E-02
377.49,2.85E-02,1.74E-02
377.86,3.13E-02,1.80E-02
378.22,2.78E-02,1.47E-02
378.59,2.71E-02,1.30E-02
378.96,2.63E-02,1.47E-02
379.33,2.36E-02,1.19E-02
379.7,2.34E-02,1.29E-02
380.06,2.29E-02,1.07E-02
380.43,2.30E-02,1.40E-02
380.8,2.22E-02,1.18E-02
381.17,2.51E-02,1.36E-02
381.53,2.44E-02,1.30E-02
381.9,2.56E-02,1.41E-02
382.27,2.50E-02,1.26E-02
382.64,2.61E-02,1.39E-02
383,2.54E-02,1.49E-02
383.37,2.44E-02,1.47E-02
383.74,2.17E-02,1.46E-02
384.11,2.33E-02,1.73E-02
384.47,2.34E-02,1.66E-02
384.84,2.35E-02,1.77E-02
385.21,2.68E-02,1.69E-02
385.57,2.86E-02,1.67E-02
385.94,2.80E-02,1.81E-02
386.31,2.76E-02,2.00E-02
386.68,2.66E-02,1.68E-02
387.04,2.46E-02,1.52E-02
387.41,2.34E-02,1.46E-02
387.78,2.37E-02,1.26E-02
388.14,2.51E-02,1.42E-02
388.51,2.62E-02,1.49E-02
388.88,2.77E-02,1.43E-02
389.24,2.79E-02,1.46E-02
389.61,2.74E-02,1.57E-02
389.98,2.61E-02,1.56E-02
390.34,2.90E-02,1.72E-02
390.71,3.13E-02,2.02E-02
391.08,3.05E-02,1.86E-02
391.44,3.13E-02,1.84E-02
391.81,3.15E-02,1.90E-02
392.17,3.24E-02,1.94E-02
392.54,3.33E-02,1.88E-02
392.91,3.49E-02,2.05E-02
393.27,3.44E-02,1.99E-02
393.64,3.31E-02,2.05E-02
394.01,3.06E-02,2.01E-02
394.37,3.25E-02,2.11E-02
394.74,2.93E-02,2.02E-02
395.1,2.78E-02,1.77E-02
395.47,2.79E-02,1.64E-02
395.84,2.59E-02,1.66E-02
396.2,2.53E-02,1.83E-02
396.57,2.55E-02,1.66E-02
396.93,2.74E-02,1.85E-02
397.3,2.44E-02,1.89E-02
397.66,2.47E-02,2.13E-02
398.03,2.51E-02,2.28E-02
398.4,2.48E-02,2.02E-02
398.76,2.41E-02,2.10E-02
399.13,2.37E-02,2.11E-02
399.49,2.52E-02,2.25E-02
399.86,2.49E-02,2.51E-02
400.22,2.63E-02,2.72E-02
400.59,2.47E-02,2.68E-02
400.95,2.45E-02,2.75E-02
401.32,2.42E-02,2.57E-02
401.68,2.54E-02,2.59E-02
402.05,2.59E-02,2.71E-02
402.42,2.67E-02,2.89E-02
402.78,2.46E-02,2.53E-02
403.15,2.69E-02,2.73E-02
403.51,2.61E-02,2.70E-02
403.88,2.56E-02,2.70E-02
404.24,2.51E-02,2.64E-02
404.61,2.43E-02,2.65E-02
404.97,2.23E-02,2.59E-02
405.34,2.29E-02,2.63E-02
405.7,2.55E-02,2.56E-02
406.06,2.96E-02,3.00E-02
406.43,3.09E-02,3.17E-02
406.79,3.15E-02,3.22E-02
407.16,3.49E-02,3.62E-02
407.52,3.52E-02,3.70E-02
407.89,3.90E-02,3.65E-02
408.25,3.85E-02,3.46E-02
408.62,3.89E-02,3.84E-02
408.98,3.86E-02,3.85E-02
409.35,4.18E-02,4.03E-02
409.71,4.37E-02,3.98E-02
410.07,4.49E-02,3.79E-02
410.44,4.69E-02,3.98E-02
410.8,4.83E-02,3.96E-02
