# EdfVersion=4.0,,,,
# Date=2024-01-18T10:33:21.251018-08:00,,,,
# ApplicationName=ControlCenter,,,,
# ApplicationVersion=1.40.2,,,,
# FilePath=/Users/melissaleon/data_logging/2024-01-18_10-33-00-SHT4x_255533031.edf,,,,
# HostName=MacBook-Pro-383.local,,,,
# MeasurementGroup=01c07f71-84d4-49f0-83f0-75abcd1ef8b6,,,,
# MeasurementSession=e86895d0-0d8b-4882-a6b5-ebe7c0b581d7,,,,
# OperatingSystem=macOS-13.2.1-x86_64-i386-64bit,,,,
# SensorId=255533031,,,,
"# Type=float64,Format=.2f,Unit=s",units=s,"Type=string,Format=","Device=SensorBridge_(09407e),Device_Serial_Number=SensorBridge-11001C000C50334D34353320,Port=1,SensorName=SHT4x,Sensor_Serial_Number=255533031,Signal=Temperature,Type=float,Format=.6f,Unit=°C,Product=SHT4x,Measurement_Frequency=2.0Hz,Downsampling=keep_first_of_every_5_samples","Device=SensorBridge_(09407e),Device_Serial_Number=SensorBridge-11001C000C50334D34353320,Port=1,SensorName=SHT4x,Sensor_Serial_Number=255533031,Signal=Relative_Humidity,Type=float,Format=.6f,Unit=%RH,Product=SHT4x,Measurement_Frequency=2.0Hz,Downsampling=keep_first_of_every_5_samples"
Epoch_UTC,time_elapsed,Local_Date_Time,T_SHT4x_255533031,RH_SHT4x_255533031
1705602981,199.38,2024-01-18T10:36:20.930000-08:00,21.853333,26.740139
1705602983,201.91,2024-01-18T10:36:23.460000-08:00,21.845322,26.80499
1705602986,204.42,2024-01-18T10:36:25.970000-08:00,21.847992,26.747768
1705602989,206.95,2024-01-18T10:36:28.500000-08:00,21.83197,26.80499
1705602991,209.46,2024-01-18T10:36:31.010000-08:00,21.869354,26.763027
1705602994,211.99,2024-01-18T10:36:33.540000-08:00,21.845322,26.789731
1705602996,214.52,2024-01-18T10:36:36.070000-08:00,21.810608,26.76112
1705602999,217.05,2024-01-18T10:36:38.600000-08:00,21.821289,26.778286
1705603001,219.57,2024-01-18T10:36:41.120000-08:00,21.83197,26.747768
1705603004,222.10,2024-01-18T10:36:43.650000-08:00,21.802597,26.778286
1705603006,224.63,2024-01-18T10:36:46.180000-08:00,21.794586,26.791638
1705603009,227.14,2024-01-18T10:36:48.690000-08:00,21.810608,26.76875
1705603011,229.65,2024-01-18T10:36:51.200000-08:00,21.83197,26.793545
1705603014,232.17,2024-01-18T10:36:53.720000-08:00,21.813278,26.76875
1705603016,234.69,2024-01-18T10:36:56.240000-08:00,21.805267,26.772564
1705603019,237.21,2024-01-18T10:36:58.760000-08:00,21.810608,26.795453
1705603021,239.73,2024-01-18T10:37:01.280000-08:00,21.799927,26.747768
1705603024,242.26,2024-01-18T10:37:03.810000-08:00,21.791916,26.803082
1705603026,244.79,2024-01-18T10:37:06.340000-08:00,21.805267,26.753491
1705603029,247.30,2024-01-18T10:37:08.850000-08:00,21.821289,26.80499
1705603031,249.83,2024-01-18T10:37:11.380000-08:00,21.810608,26.810712
1705603034,252.36,2024-01-18T10:37:13.910000-08:00,21.818619,26.76875
1705603036,254.89,2024-01-18T10:37:16.440000-08:00,21.837311,26.730602
1705603039,257.42,2024-01-18T10:37:18.970000-08:00,21.83197,26.785916
1705603041,259.93,2024-01-18T10:37:21.480000-08:00,21.858673,26.755398
1705603044,262.44,2024-01-18T10:37:23.990000-08:00,21.823959,26.778286
1705603047,264.97,2024-01-18T10:37:26.520000-08:00,21.83197,26.763027
1705603049,267.50,2024-01-18T10:37:29.050000-08:00,21.83197,26.749676
1705603052,270.02,2024-01-18T10:37:31.570000-08:00,21.82663,26.703899
1705603054,272.55,2024-01-18T10:37:34.100000-08:00,21.813278,26.715343
1705603057,275.08,2024-01-18T10:37:36.630000-08:00,21.794586,26.738231
1705603059,277.61,2024-01-18T10:37:39.160000-08:00,21.837311,26.728695
1705603062,280.14,2024-01-18T10:37:41.690000-08:00,21.815948,26.76112
1705603064,282.67,2024-01-18T10:37:44.220000-08:00,21.813278,26.753491
1705603067,285.18,2024-01-18T10:37:46.730000-08:00,21.805267,26.76112
1705603069,287.71,2024-01-18T10:37:49.260000-08:00,21.810608,26.778286
1705603072,290.23,2024-01-18T10:37:51.780000-08:00,21.82663,26.730602
1705603074,292.76,2024-01-18T10:37:54.310000-08:00,21.834641,26.703899
1705603077,295.27,2024-01-18T10:37:56.820000-08:00,21.815948,26.738231
1705603079,297.80,2024-01-18T10:37:59.350000-08:00,21.837311,26.749676
1705603082,300.33,2024-01-18T10:38:01.880000-08:00,21.83197,26.755398
1705603084,302.86,2024-01-18T10:38:04.410000-08:00,21.850662,26.736324
1705603087,305.39,2024-01-18T10:38:06.940000-08:00,21.837311,26.701991
1705603089,307.90,2024-01-18T10:38:09.450000-08:00,21.858673,26.736324
1705603092,310.43,2024-01-18T10:38:11.980000-08:00,21.83197,26.774472
1705603095,312.95,2024-01-18T10:38:14.500000-08:00,21.802597,26.703899
1705603097,315.48,2024-01-18T10:38:17.030000-08:00,21.821289,26.745861
1705603100,318.01,2024-01-18T10:38:19.560000-08:00,21.815948,26.749676
1705603102,320.54,2024-01-18T10:38:22.090000-08:00,21.858673,26.76875
1705603105,323.07,2024-01-18T10:38:24.620000-08:00,21.834641,26.740139
1705603107,325.59,2024-01-18T10:38:27.140000-08:00,21.83197,26.747768
1705603110,328.11,2024-01-18T10:38:29.660000-08:00,21.83197,26.759213
1705603112,330.63,2024-01-18T10:38:32.180000-08:00,21.805267,26.719158
1705603115,333.16,2024-01-18T10:38:34.710000-08:00,21.813278,26.745861
1705603117,335.67,2024-01-18T10:38:37.220000-08:00,21.815948,26.726787
1705603120,338.20,2024-01-18T10:38:39.750000-08:00,21.815948,26.766842
1705603122,340.73,2024-01-18T10:38:42.280000-08:00,21.821289,26.759213
1705603125,343.26,2024-01-18T10:38:44.810000-08:00,21.8293,26.755398
1705603127,345.77,2024-01-18T10:38:47.320000-08:00,21.837311,26.755398
1705603130,348.30,2024-01-18T10:38:49.850000-08:00,21.815948,26.766842
1705603132,350.81,2024-01-18T10:38:52.360000-08:00,21.821289,26.766842
1705603135,353.34,2024-01-18T10:38:54.890000-08:00,21.834641,26.780194
1705603137,355.87,2024-01-18T10:38:57.420000-08:00,21.815948,26.753491
1705603140,358.38,2024-01-18T10:38:59.930000-08:00,21.83197,26.71725
1705603142,360.91,2024-01-18T10:39:02.460000-08:00,21.847992,26.709621
1705603145,363.42,2024-01-18T10:39:04.970000-08:00,21.845322,26.722972
1705603148,365.95,2024-01-18T10:39:07.500000-08:00,21.83197,26.770657
1705603150,368.48,2024-01-18T10:39:10.030000-08:00,21.810608,26.726787
1705603153,371.00,2024-01-18T10:39:12.550000-08:00,21.83197,26.763027
1705603155,373.53,2024-01-18T10:39:15.080000-08:00,21.839981,26.728695
1705603158,376.06,2024-01-18T10:39:17.610000-08:00,21.821289,26.722972
1705603160,378.59,2024-01-18T10:39:20.140000-08:00,21.815948,26.76875
1705603163,381.10,2024-01-18T10:39:22.650000-08:00,21.794586,26.778286
1705603165,383.63,2024-01-18T10:39:25.180000-08:00,21.834641,26.763027
1705603168,386.16,2024-01-18T10:39:27.710000-08:00,21.821289,26.780194
1705603170,388.68,2024-01-18T10:39:30.230000-08:00,21.82663,26.742046
1705603173,391.21,2024-01-18T10:39:32.760000-08:00,21.847992,26.76112
1705603175,393.73,2024-01-18T10:39:35.280000-08:00,21.861343,26.76875
1705603178,396.25,2024-01-18T10:39:37.800000-08:00,21.858673,26.736324
1705603180,398.78,2024-01-18T10:39:40.330000-08:00,21.83197,26.740139
1705603183,401.29,2024-01-18T10:39:42.840000-08:00,21.853333,26.740139
1705603185,403.82,2024-01-18T10:39:45.370000-08:00,21.850662,26.721065
1705603188,406.35,2024-01-18T10:39:47.900000-08:00,21.83197,26.742046
1705603190,408.86,2024-01-18T10:39:50.410000-08:00,21.815948,26.759213
1705603193,411.39,2024-01-18T10:39:52.940000-08:00,21.83197,26.787823
1705603195,413.90,2024-01-18T10:39:55.450000-08:00,21.813278,26.728695
1705603198,416.43,2024-01-18T10:39:57.980000-08:00,21.83197,26.740139
1705603201,418.96,2024-01-18T10:40:00.510000-08:00,21.83197,26.766842
1705603203,421.49,2024-01-18T10:40:03.040000-08:00,21.821289,26.753491
1705603206,424.00,2024-01-18T10:40:05.550000-08:00,21.823959,26.785916
1705603208,426.53,2024-01-18T10:40:08.080000-08:00,21.821289,26.76875
1705603211,429.06,2024-01-18T10:40:10.610000-08:00,21.799927,26.818341
